cp,alcaldia,poblacion_alcaldia_2020,latitud_aprox,longitud_aprox
02650,Azcapotzalco,432205,19.455,-99.154
02660,Azcapotzalco,432205,19.454,-99.153
02670,Azcapotzalco,432205,19.453,-99.152
02680,Azcapotzalco,432205,19.452,-99.151
02700,Azcapotzalco,432205,19.451,-99.15
02710,Azcapotzalco,432205,19.45,-99.149
02719,Azcapotzalco,432205,19.449,-99.148
02720,Azcapotzalco,432205,19.448,-99.147
02730,Azcapotzalco,432205,19.447,-99.146
02750,Azcapotzalco,432205,19.446,-99.145
02760,Azcapotzalco,432205,19.445,-99.144
02770,Azcapotzalco,432205,19.444,-99.143
02780,Azcapotzalco,432205,19.443,-99.142
02790,Azcapotzalco,432205,19.442,-99.141
02800,Azcapotzalco,432205,19.441,-99.14
02810,Azcapotzalco,432205,19.44,-99.139
02830,Azcapotzalco,432205,19.439,-99.138
02840,Azcapotzalco,432205,19.438,-99.137
02850,Azcapotzalco,432205,19.437,-99.136
02860,Azcapotzalco,432205,19.436,-99.135
02870,Azcapotzalco,432205,19.435,-99.134
02900,Azcapotzalco,432205,19.434,-99.133
02910,Azcapotzalco,432205,19.433,-99.132
02920,Azcapotzalco,432205,19.432,-99.131
02930,Azcapotzalco,432205,19.431,-99.13
02940,Azcapotzalco,432205,19.43,-99.129
02950,Azcapotzalco,432205,19.429,-99.128
02960,Azcapotzalco,432205,19.428,-99.127
02970,Azcapotzalco,432205,19.427,-99.126
02980,Azcapotzalco,432205,19.426,-99.125
02990,Azcapotzalco,432205,19.425,-99.124
03000,Benito Juárez,434153,19.3726,-99.1566
03010,Benito Juárez,434153,19.371,-99.155
03020,Benito Juárez,434153,19.37,-99.154
03023,Benito Juárez,434153,19.369,-99.153
03100,Benito Juárez,434153,19.368,-99.152
03103,Benito Juárez,434153,19.367,-99.151
03104,Benito Juárez,434153,19.366,-99.15
03800,Benito Juárez,434153,19.365,-99.149
03810,Benito Juárez,434153,19.364,-99.148
03840,Benito Juárez,434153,19.363,-99.147
03900,Benito Juárez,434153,19.362,-99.146
03910,Benito Juárez,434153,19.361,-99.145
03920,Benito Juárez,434153,19.36,-99.144
03930,Benito Juárez,434153,19.359,-99.143
03940,Benito Juárez,434153,19.358,-99.142
04000,Coyoacán,614447,19.345,-99.162
04100,Coyoacán,614447,19.344,-99.161
04200,Coyoacán,614447,19.343,-99.16
04210,Coyoacán,614447,19.342,-99.159
04230,Coyoacán,614447,19.341,-99.158
04240,Coyoacán,614447,19.34,-99.157
04250,Coyoacán,614447,19.339,-99.156
04300,Coyoacán,614447,19.338,-99.155
04310,Coyoacán,614447,19.337,-99.154
04320,Coyoacán,614447,19.336,-99.153
04330,Coyoacán,614447,19.335,-99.152
04360,Coyoacán,614447,19.334,-99.151
04369,Coyoacán,614447,19.333,-99.15
04370,Coyoacán,614447,19.332,-99.149
04380,Coyoacán,614447,19.331,-99.148
04390,Coyoacán,614447,19.33,-99.147
04400,Coyoacán,614447,19.329,-99.146
04410,Coyoacán,614447,19.328,-99.145
04420,Coyoacán,614447,19.327,-99.144
04440,Coyoacán,614447,19.326,-99.143
04450,Coyoacán,614447,19.325,-99.142
04460,Coyoacán,614447,19.324,-99.141
04470,Coyoacán,614447,19.323,-99.14
04480,Coyoacán,614447,19.322,-99.139
04489,Coyoacán,614447,19.321,-99.138
04490,Coyoacán,614447,19.32,-99.137
04500,Coyoacán,614447,19.319,-99.136
04510,Coyoacán,614447,19.318,-99.135
04519,Coyoacán,614447,19.317,-99.134
04530,Coyoacán,614447,19.316,-99.133
04600,Coyoacán,614447,19.315,-99.132
04610,Coyoacán,614447,19.314,-99.131
04620,Coyoacán,614447,19.313,-99.13
04630,Coyoacán,614447,19.312,-99.129
04640,Coyoacán,614447,19.311,-99.128
04650,Coyoacán,614447,19.31,-99.127
04660,Coyoacán,614447,19.309,-99.126
04700,Coyoacán,614447,19.308,-99.125
04710,Coyoacán,614447,19.307,-99.124
04730,Coyoacán,614447,19.306,-99.123
04739,Coyoacán,614447,19.305,-99.122
04800,Coyoacán,614447,19.304,-99.121
04810,Coyoacán,614447,19.303,-99.12
04815,Coyoacán,614447,19.302,-99.119
04830,Coyoacán,614447,19.301,-99.118
04840,Coyoacán,614447,19.3,-99.117
04870,Coyoacán,614447,19.299,-99.116
04890,Coyoacán,614447,19.298,-99.115
04899,Coyoacán,614447,19.297,-99.114
04909,Coyoacán,614447,19.296,-99.113
04910,Coyoacán,614447,19.295,-99.112
04918,Coyoacán,614447,19.294,-99.111
04919,Coyoacán,614447,19.293,-99.11
04920,Coyoacán,614447,19.292,-99.109
04929,Coyoacán,614447,19.291,-99.108
04930,Coyoacán,614447,19.29,-99.107
04938,Coyoacán,614447,19.289,-99.106
04939,Coyoacán,614447,19.288,-99.105
04940,Coyoacán,614447,19.287,-99.104
04950,Coyoacán,614447,19.286,-99.103
04960,Coyoacán,614447,19.285,-99.102
04970,Coyoacán,614447,19.284,-99.101
04980,Coyoacán,614447,19.283,-99.1
05000,Cuajimalpa de Morelos,217686,19.3566,-99.2991
05010,Cuajimalpa de Morelos,217686,19.355,-99.298
05020,Cuajimalpa de Morelos,217686,19.354,-99.297
05030,Cuajimalpa de Morelos,217686,19.353,-99.296
05040,Cuajimalpa de Morelos,217686,19.352,-99.295
05100,Cuajimalpa de Morelos,217686,19.351,-99.294
05110,Cuajimalpa de Morelos,217686,19.35,-99.293
05118,Cuajimalpa de Morelos,217686,19.349,-99.292
05119,Cuajimalpa de Morelos,217686,19.348,-99.291
05120,Cuajimalpa de Morelos,217686,19.347,-99.29
05129,Cuajimalpa de Morelos,217686,19.346,-99.289
06000,Cuauhtémoc,545884,19.4326,-99.1332
06010,Cuauhtémoc,545884,19.431,-99.132
06020,Cuauhtémoc,545884,19.43,-99.131
06030,Cuauhtémoc,545884,19.429,-99.13
06040,Cuauhtémoc,545884,19.428,-99.129
06050,Cuauhtémoc,545884,19.427,-99.128
06060,Cuauhtémoc,545884,19.426,-99.127
06070,Cuauhtémoc,545884,19.425,-99.126
06080,Cuauhtémoc,545884,19.424,-99.125
06090,Cuauhtémoc,545884,19.423,-99.124
06100,Cuauhtémoc,545884,19.422,-99.123
06140,Cuauhtémoc,545884,19.421,-99.122
06170,Cuauhtémoc,545884,19.42,-99.121
06200,Cuauhtémoc,545884,19.419,-99.12
06220,Cuauhtémoc,545884,19.418,-99.119
06240,Cuauhtémoc,545884,19.417,-99.118
06250,Cuauhtémoc,545884,19.416,-99.117
06270,Cuauhtémoc,545884,19.415,-99.116
06280,Cuauhtémoc,545884,19.414,-99.115
06300,Cuauhtémoc,545884,19.413,-99.114
06350,Cuauhtémoc,545884,19.412,-99.113
06400,Cuauhtémoc,545884,19.411,-99.112
06430,Cuauhtémoc,545884,19.41,-99.111
06450,Cuauhtémoc,545884,19.409,-99.11
06470,Cuauhtémoc,545884,19.408,-99.109
06500,Cuauhtémoc,545884,19.407,-99.108
06600,Cuauhtémoc,545884,19.406,-99.107
06620,Cuauhtémoc,545884,19.405,-99.106
06640,Cuauhtémoc,545884,19.404,-99.105
06660,Cuauhtémoc,545884,19.403,-99.104
06700,Cuauhtémoc,545884,19.402,-99.103
06720,Cuauhtémoc,545884,19.401,-99.102
06760,Cuauhtémoc,545884,19.4,-99.101
06780,Cuauhtémoc,545884,19.399,-99.1
06800,Cuauhtémoc,545884,19.398,-99.099
06820,Cuauhtémoc,545884,19.397,-99.098
06840,Cuauhtémoc,545884,19.396,-99.097
06850,Cuauhtémoc,545884,19.395,-99.096
06860,Cuauhtémoc,545884,19.394,-99.095
06870,Cuauhtémoc,545884,19.393,-99.094
06880,Cuauhtémoc,545884,19.392,-99.093
06890,Cuauhtémoc,545884,19.391,-99.092
06900,Cuauhtémoc,545884,19.39,-99.091
06920,Cuauhtémoc,545884,19.389,-99.09
07000,Gustavo A. Madero,1173295,19.4833,-99.1167
07010,Gustavo A. Madero,1173295,19.482,-99.115
07020,Gustavo A. Madero,1173295,19.481,-99.114
07040,Gustavo A. Madero,1173295,19.48,-99.113
07050,Gustavo A. Madero,1173295,19.479,-99.112
07058,Gustavo A. Madero,1173295,19.478,-99.111
07060,Gustavo A. Madero,1173295,19.477,-99.11
07069,Gustavo A. Madero,1173295,19.476,-99.109
07070,Gustavo A. Madero,1173295,19.475,-99.108
07080,Gustavo A. Madero,1173295,19.474,-99.107
07089,Gustavo A. Madero,1173295,19.473,-99.106
07090,Gustavo A. Madero,1173295,19.472,-99.105
07100,Gustavo A. Madero,1173295,19.471,-99.104
07110,Gustavo A. Madero,1173295,19.47,-99.103
07119,Gustavo A. Madero,1173295,19.469,-99.102
07130,Gustavo A. Madero,1173295,19.468,-99.101
07140,Gustavo A. Madero,1173295,19.467,-99.1
07144,Gustavo A. Madero,1173295,19.466,-99.099
07149,Gustavo A. Madero,1173295,19.465,-99.098
07150,Gustavo A. Madero,1173295,19.464,-99.097
07160,Gustavo A. Madero,1173295,19.463,-99.096
07164,Gustavo A. Madero,1173295,19.462,-99.095
07170,Gustavo A. Madero,1173295,19.461,-99.094
07180,Gustavo A. Madero,1173295,19.46,-99.093
07190,Gustavo A. Madero,1173295,19.459,-99.092
07200,Gustavo A. Madero,1173295,19.458,-99.091
07207,Gustavo A. Madero,1173295,19.457,-99.09
07209,Gustavo A. Madero,1173295,19.456,-99.089
07210,Gustavo A. Madero,1173295,19.455,-99.088
07214,Gustavo A. Madero,1173295,19.454,-99.087
07220,Gustavo A. Madero,1173295,19.453,-99.086
07224,Gustavo A. Madero,1173295,19.452,-99.085
07230,Gustavo A. Madero,1173295,19.451,-99.084
07239,Gustavo A. Madero,1173295,19.45,-99.083
07240,Gustavo A. Madero,1173295,19.449,-99.082
07250,Gustavo A. Madero,1173295,19.448,-99.081
07259,Gustavo A. Madero,1173295,19.447,-99.08
07268,Gustavo A. Madero,1173295,19.446,-99.079
07270,Gustavo A. Madero,1173295,19.445,-99.078
07279,Gustavo A. Madero,1173295,19.444,-99.077
07280,Gustavo A. Madero,1173295,19.443,-99.076
07290,Gustavo A. Madero,1173295,19.442,-99.075
07300,Gustavo A. Madero,1173295,19.441,-99.074
07320,Gustavo A. Madero,1173295,19.44,-99.073
07330,Gustavo A. Madero,1173295,19.439,-99.072
07340,Gustavo A. Madero,1173295,19.438,-99.071
07350,Gustavo A. Madero,1173295,19.437,-99.07
07359,Gustavo A. Madero,1173295,19.436,-99.069
07360,Gustavo A. Madero,1173295,19.435,-99.068
07369,Gustavo A. Madero,1173295,19.434,-99.067
07370,Gustavo A. Madero,1173295,19.433,-99.066
07380,Gustavo A. Madero,1173295,19.432,-99.065
07400,Gustavo A. Madero,1173295,19.431,-99.064
07410,Gustavo A. Madero,1173295,19.43,-99.063
07420,Gustavo A. Madero,1173295,19.429,-99.062
07430,Gustavo A. Madero,1173295,19.428,-99.061
07440,Gustavo A. Madero,1173295,19.427,-99.06
07450,Gustavo A. Madero,1173295,19.426,-99.059
07455,Gustavo A. Madero,1173295,19.425,-99.058
07456,Gustavo A. Madero,1173295,19.424,-99.057
07460,Gustavo A. Madero,1173295,19.423,-99.056
07469,Gustavo A. Madero,1173295,19.422,-99.055
07470,Gustavo A. Madero,1173295,19.421,-99.054
07480,Gustavo A. Madero,1173295,19.42,-99.053
07500,Gustavo A. Madero,1173295,19.419,-99.052
07509,Gustavo A. Madero,1173295,19.418,-99.051
07510,Gustavo A. Madero,1173295,19.417,-99.05
07520,Gustavo A. Madero,1173295,19.416,-99.049
07530,Gustavo A. Madero,1173295,19.415,-99.048
07540,Gustavo A. Madero,1173295,19.414,-99.047
07550,Gustavo A. Madero,1173295,19.413,-99.046
07560,Gustavo A. Madero,1173295,19.412,-99.045
07570,Gustavo A. Madero,1173295,19.411,-99.044
07580,Gustavo A. Madero,1173295,19.41,-99.043
07600,Gustavo A. Madero,1173295,19.409,-99.042
07620,Gustavo A. Madero,1173295,19.408,-99.041
07630,Gustavo A. Madero,1173295,19.407,-99.04
07640,Gustavo A. Madero,1173295,19.406,-99.039
07650,Gustavo A. Madero,1173295,19.405,-99.038
07660,Gustavo A. Madero,1173295,19.404,-99.037
07670,Gustavo A. Madero,1173295,19.403,-99.036
07680,Gustavo A. Madero,1173295,19.402,-99.035
07700,Gustavo A. Madero,1173295,19.401,-99.034
07707,Gustavo A. Madero,1173295,19.4,-99.033
07708,Gustavo A. Madero,1173295,19.399,-99.032
07720,Gustavo A. Madero,1173295,19.398,-99.031
07730,Gustavo A. Madero,1173295,19.397,-99.03
07740,Gustavo A. Madero,1173295,19.396,-99.029
07750,Gustavo A. Madero,1173295,19.395,-99.028
07754,Gustavo A. Madero,1173295,19.394,-99.027
07755,Gustavo A. Madero,1173295,19.393,-99.026
07760,Gustavo A. Madero,1173295,19.392,-99.025
07770,Gustavo A. Madero,1173295,19.391,-99.024
07780,Gustavo A. Madero,1173295,19.39,-99.023
07790,Gustavo A. Madero,1173295,19.389,-99.022
07800,Gustavo A. Madero,1173295,19.388,-99.021
07810,Gustavo A. Madero,1173295,19.387,-99.02
07820,Gustavo A. Madero,1173295,19.386,-99.019
07830,Gustavo A. Madero,1173295,19.385,-99.018
07838,Gustavo A. Madero,1173295,19.384,-99.017
07839,Gustavo A. Madero,1173295,19.383,-99.016
07840,Gustavo A. Madero,1173295,19.382,-99.015
07850,Gustavo A. Madero,1173295,19.381,-99.014
07858,Gustavo A. Madero,1173295,19.38,-99.013
07859,Gustavo A. Madero,1173295,19.379,-99.012
07860,Gustavo A. Madero,1173295,19.378,-99.011
07870,Gustavo A. Madero,1173295,19.377,-99.01
07880,Gustavo A. Madero,1173295,19.376,-99.009
07890,Gustavo A. Madero,1173295,19.375,-99.008
07899,Gustavo A. Madero,1173295,19.374,-99.007
07900,Gustavo A. Madero,1173295,19.373,-99.006
07910,Gustavo A. Madero,1173295,19.372,-99.005
07920,Gustavo A. Madero,1173295,19.371,-99.004
07930,Gustavo A. Madero,1173295,19.37,-99.003
07939,Gustavo A. Madero,1173295,19.369,-99.002
07940,Gustavo A. Madero,1173295,19.368,-99.001
07950,Gustavo A. Madero,1173295,19.367,-99.0
07960,Gustavo A. Madero,1173295,19.366,-98.999
07969,Gustavo A. Madero,1173295,19.365,-98.998
07970,Gustavo A. Madero,1173295,19.364,-98.997
07979,Gustavo A. Madero,1173295,19.363,-98.996
08000,Iztacalco,404695,19.3958,-99.0986
08010,Iztacalco,404695,19.394,-99.097
08020,Iztacalco,404695,19.393,-99.096
08030,Iztacalco,404695,19.392,-99.095
08040,Iztacalco,404695,19.391,-99.094
08050,Iztacalco,404695,19.39,-99.093
08060,Iztacalco,404695,19.389,-99.092
08070,Iztacalco,404695,19.388,-99.091
08080,Iztacalco,404695,19.387,-99.09
08090,Iztacalco,404695,19.386,-99.089
08100,Iztacalco,404695,19.385,-99.088
08150,Iztacalco,404695,19.384,-99.087
08200,Iztacalco,404695,19.383,-99.086
08210,Iztacalco,404695,19.382,-99.085
08220,Iztacalco,404695,19.381,-99.084
08230,Iztacalco,404695,19.38,-99.083
08240,Iztacalco,404695,19.379,-99.082
08300,Iztacalco,404695,19.378,-99.081
08310,Iztacalco,404695,19.377,-99.08
08320,Iztacalco,404695,19.376,-99.079
08400,Iztacalco,404695,19.375,-99.078
08420,Iztacalco,404695,19.374,-99.077
08500,Iztacalco,404695,19.373,-99.076
08510,Iztacalco,404695,19.372,-99.075
08600,Iztacalco,404695,19.371,-99.074
08610,Iztacalco,404695,19.37,-99.073
08620,Iztacalco,404695,19.369,-99.072
08650,Iztacalco,404695,19.368,-99.071
08700,Iztacalco,404695,19.367,-99.07
08710,Iztacalco,404695,19.366,-99.069
08720,Iztacalco,404695,19.365,-99.068
08730,Iztacalco,404695,19.364,-99.067
08760,Iztacalco,404695,19.363,-99.066
08770,Iztacalco,404695,19.362,-99.065
08800,Iztacalco,404695,19.361,-99.064
08810,Iztacalco,404695,19.36,-99.063
08830,Iztacalco,404695,19.359,-99.062
08840,Iztacalco,404695,19.358,-99.061
08900,Iztacalco,404695,19.357,-99.06
08910,Iztacalco,404695,19.356,-99.059
08920,Iztacalco,404695,19.355,-99.058
08930,Iztacalco,404695,19.354,-99.057
09000,Iztapalapa,1863363,19.3578,-99.0929
09010,Iztapalapa,1863363,19.356,-99.091
09020,Iztapalapa,1863363,19.355,-99.09
09030,Iztapalapa,1863363,19.354,-99.089
09040,Iztapalapa,1863363,19.353,-99.088
09060,Iztapalapa,1863363,19.352,-99.087
09070,Iztapalapa,1863363,19.351,-99.086
09080,Iztapalapa,1863363,19.35,-99.085
09089,Iztapalapa,1863363,19.349,-99.084
09090,Iztapalapa,1863363,19.348,-99.083
09099,Iztapalapa,1863363,19.347,-99.082
09100,Iztapalapa,1863363,19.346,-99.081
09110,Iztapalapa,1863363,19.345,-99.08
09120,Iztapalapa,1863363,19.344,-99.079
09130,Iztapalapa,1863363,19.343,-99.078
09140,Iztapalapa,1863363,19.342,-99.077
09150,Iztapalapa,1863363,19.341,-99.076
09160,Iztapalapa,1863363,19.34,-99.075
09170,Iztapalapa,1863363,19.339,-99.074
09180,Iztapalapa,1863363,19.338,-99.073
09190,Iztapalapa,1863363,19.337,-99.072
09200,Iztapalapa,1863363,19.336,-99.071
09208,Iztapalapa,1863363,19.335,-99.07
09209,Iztapalapa,1863363,19.334,-99.069
09210,Iztapalapa,1863363,19.333,-99.068
09220,Iztapalapa,1863363,19.332,-99.067
09230,Iztapalapa,1863363,19.331,-99.066
09239,Iztapalapa,1863363,19.33,-99.065
09240,Iztapalapa,1863363,19.329,-99.064
09250,Iztapalapa,1863363,19.328,-99.063
09260,Iztapalapa,1863363,19.327,-99.062
09270,Iztapalapa,1863363,19.326,-99.061
09280,Iztapalapa,1863363,19.325,-99.06
09290,Iztapalapa,1863363,19.324,-99.059
09300,Iztapalapa,1863363,19.323,-99.058
09310,Iztapalapa,1863363,19.322,-99.057
09319,Iztapalapa,1863363,19.321,-99.056
09320,Iztapalapa,1863363,19.32,-99.055
09340,Iztapalapa,1863363,19.319,-99.054
09350,Iztapalapa,1863363,19.318,-99.053
09360,Iztapalapa,1863363,19.317,-99.052
09400,Iztapalapa,1863363,19.316,-99.051
09410,Iztapalapa,1863363,19.315,-99.05
09420,Iztapalapa,1863363,19.314,-99.049
09430,Iztapalapa,1863363,19.313,-99.048
09438,Iztapalapa,1863363,19.312,-99.047
09440,Iztapalapa,1863363,19.311,-99.046
09450,Iztapalapa,1863363,19.31,-99.045
09460,Iztapalapa,1863363,19.309,-99.044
09470,Iztapalapa,1863363,19.308,-99.043
09479,Iztapalapa,1863363,19.307,-99.042
09480,Iztapalapa,1863363,19.306,-99.041
09500,Iztapalapa,1863363,19.305,-99.04
09510,Iztapalapa,1863363,19.304,-99.039
09520,Iztapalapa,1863363,19.303,-99.038
09530,Iztapalapa,1863363,19.302,-99.037
09550,Iztapalapa,1863363,19.301,-99.036
09560,Iztapalapa,1863363,19.3,-99.035
09570,Iztapalapa,1863363,19.299,-99.034
09578,Iztapalapa,1863363,19.298,-99.033
09580,Iztapalapa,1863363,19.297,-99.032
09600,Iztapalapa,1863363,19.296,-99.031
09608,Iztapalapa,1863363,19.295,-99.03
09609,Iztapalapa,1863363,19.294,-99.029
09610,Iztapalapa,1863363,19.293,-99.028
09620,Iztapalapa,1863363,19.292,-99.027
09630,Iztapalapa,1863363,19.291,-99.026
09637,Iztapalapa,1863363,19.29,-99.025
09638,Iztapalapa,1863363,19.289,-99.024
09640,Iztapalapa,1863363,19.288,-99.023
09648,Iztapalapa,1863363,19.287,-99.022
09660,Iztapalapa,1863363,19.286,-99.021
09670,Iztapalapa,1863363,19.285,-99.02
09680,Iztapalapa,1863363,19.284,-99.019
09689,Iztapalapa,1863363,19.283,-99.018
09690,Iztapalapa,1863363,19.282,-99.017
09696,Iztapalapa,1863363,19.281,-99.016
09700,Iztapalapa,1863363,19.28,-99.015
09704,Iztapalapa,1863363,19.279,-99.014
09705,Iztapalapa,1863363,19.278,-99.013
09706,Iztapalapa,1863363,19.277,-99.012
09707,Iztapalapa,1863363,19.276,-99.011
09708,Iztapalapa,1863363,19.275,-99.01
09709,Iztapalapa,1863363,19.274,-99.009
09710,Iztapalapa,1863363,19.273,-99.008
09720,Iztapalapa,1863363,19.272,-99.007
09730,Iztapalapa,1863363,19.271,-99.006
09740,Iztapalapa,1863363,19.27,-99.005
09750,Iztapalapa,1863363,19.269,-99.004
09760,Iztapalapa,1863363,19.268,-99.003
09769,Iztapalapa,1863363,19.267,-99.002
09770,Iztapalapa,1863363,19.266,-99.001
09780,Iztapalapa,1863363,19.265,-99.0
09790,Iztapalapa,1863363,19.264,-98.999
09800,Iztapalapa,1863363,19.263,-98.998
09810,Iztapalapa,1863363,19.262,-98.997
09819,Iztapalapa,1863363,19.261,-98.996
09820,Iztapalapa,1863363,19.26,-98.995
09829,Iztapalapa,1863363,19.259,-98.994
09830,Iztapalapa,1863363,19.258,-98.993
09838,Iztapalapa,1863363,19.257,-98.992
09839,Iztapalapa,1863363,19.256,-98.991
09840,Iztapalapa,1863363,19.255,-98.99
09849,Iztapalapa,1863363,19.254,-98.989
09850,Iztapalapa,1863363,19.253,-98.988
09856,Iztapalapa,1863363,19.252,-98.987
09857,Iztapalapa,1863363,19.251,-98.986
09858,Iztapalapa,1863363,19.25,-98.985
09859,Iztapalapa,1863363,19.249,-98.984
09860,Iztapalapa,1863363,19.248,-98.983
09868,Iztapalapa,1863363,19.247,-98.982
09869,Iztapalapa,1863363,19.246,-98.981
09870,Iztapalapa,1863363,19.245,-98.98
